Sample_UID	Shannon_Diversity_Index	Temperature	Oxygen	Depth.nominal	ChlorophyllA	Salinity	Ammonium.5m	Iron.5m
TARA_A100000164	5.69799818980961	21.48665	208.245	5	0.013344	37.89575	0.0091195614853253	0.00138789506551499
TARA_A100001011	5.64736176014986	18.61621	218.75115	70	0.091071	39.23456	0.00327023347684493	0.00138815717461209
TARA_A100001015	5.37503876816239	20.4425	207.61355	5	0.067706	39.42311	0.00327023347684493	0.00138815717461209
TARA_A100001035	5.88176218485887	25.811708	188.341917	5	0.085486	39.7709	0.0201475468153755	0.00138778716791421
TARA_A100001037	5.92194244250884	26.12925	181.501	80	0.1566	40.187042	0.0201475468153755	0.00138778716791421
TARA_A100001234	5.91804595877703	27.3097	183.589125	5	0.150568	38.9435	0.0194904902018607	0.00138779064097131
TARA_A100001388	6.0836203505407	25.0281	189.91675	5	0.112855	39.96035	0.0112219053941468	0.00138711252172167
TARA_A200000113	5.60163589360327	23.8141	NA	9	0.189348	37.522	0.0152447197275857	0.00138777678754802
TARA_A200000159	5.99353274906309	17.521075	NA	42	0.338691	37.1036	0.0152447197275857	0.00138777678754802
TARA_B000000437	6.11337854148437	21.76357	207.5812	5	0.176479	35.449638	0.00992695808721085	0.000760815028722088
TARA_B000000441	6.30547508025905	21.72823	207.48285	30	0.177651	35.451512	0.00992695808721085	0.000760815028722088
TARA_B000000460	6.53472360282432	8.33035	199.726	850	0	34.630583	0.00992695808721085	0.000760815028722088
TARA_B000000475	6.14368482357219	15.013362	239.93725	5	0.221666	35.3233	0.019386056655397	0.000311998861434404
TARA_B000000477	6.13824477206257	15.014	239.791063	30	0.221666	35.32305	0.019386056655397	0.000311998861434404
TARA_B000000532	6.18612522692301	NA	NA	5	NA	NA	0.0123374316220482	0.000909213655783484
TARA_B000000557	6.22821558641076	25.113925	181.101938	66	0.197343	35.162694	0.0110999473060171	0.00100018053005139
TARA_B000000565	6.25378303169221	26.553475	194.060917	5	0.140592	35.124517	0.0107390165018539	0.00100945199180084
TARA_B000000609	6.27130500183699	27.296125	193.165	5	0.098701	35.0302	0.0117744424690803	0.00100899864143382
TARA_B100000003	5.82883184058038	27.635025	183.84625	5	0.137257	38.64	0.0152658259806534	0.00138775453281899
TARA_B100000029	6.12591131248317	27.558763	175.509	60	0.14795	38.895025	0.0152658259806534	0.00138775453281899
TARA_B100000035	5.81145330629195	25.329231	206.568833	17	0.24107	36.535819	0.0289020451406638	0.00138773602278282
TARA_B100000073	5.73489826830306	25.607735	189.0233	25	0.185922	36.549506	0.0300325981030862	0.00138772641851877
TARA_B100000085	5.79033511070897	26.692435	187.47615	25	0.196803	36.40162	0.0255101999888817	0.00138772013209139
TARA_B100000123	5.80779426373557	30.12785	188.79575	5	0.080016	34.56775	0.0158915508848925	0.0013876977803496
TARA_B100000131	5.60179786174446	27.9561	137.998083	80	0.228999	35.044342	0.0158915508848925	0.0013876977803496
TARA_B100000161	5.81283493383154	30.59345	186.0215	5	0.058503	35.0481	0.0165928991821905	0.00132069057629754
TARA_B100000212	5.31397382229593	27.956483	191.628083	5	0.134305	34.54545	0.0105025597537557	0.00104826559739498
TARA_B100000214	5.92581619523867	25.212642	194.81775	75	0.228414	34.896833	0.0105025597537557	0.00104826559739498
TARA_B100000242	5.67433117043387	29.818108	187.35	5	0.077086	34.184183	0.0138702445353071	0.00120944560815891
TARA_B100000282	5.98068701871524	29.151544	187.306625	5	0.092377	36.0499	0.0202778459837039	0.00138769942956666
TARA_B100000287	5.70789779922024	27.374181	164.440063	60	0.166581	36.503531	0.0202778459837039	0.00138769942956666
TARA_B100000315	5.50521039912476	11.984006	2.81625	600	0.008026	35.672725	0.0288890078663826	0.00138773679888497
TARA_B100000378	6.48643028948565	6.195775	88.88975	1000	0	34.8293	0.0117744424690803	0.00100899864143382
TARA_B100000401	6.16142766082799	22.2414	210.2395	5	0.136664	35.32467	0.0101982532069087	0.000803409852475549
TARA_B100000405	6.19169939005717	22.215305	207.9566	65	0.121203	35.346195	0.0101982532069087	0.000803409852475549
TARA_B100000408	6.53578779953189	7.552017	190.888667	1000	0	34.572658	0.0101982532069087	0.000803409852475549
TARA_B100000424	6.26086847000858	25.064425	199.135	5	0.104143	36.41678	0.011292623821646	0.00126216855521003
TARA_B100000427	6.06995898985123	23.630095	190.5966	100	0.242586	36.588225	0.011292623821646	0.00126216855521003
TARA_B100000446	6.18102117319817	4.188237	161.92525	800	0	34.446963	0.0152830765582621	0.00078781635966152
TARA_B100000459	5.51631675156619	19.77001	215.2007	5	0.117466	36.35839	0.0152830765582621	0.00078781635966152
TARA_B100000470	6.57642160504391	7.32145	194.4342	700	0	34.50494	0.0158079856385787	0.000368279658384078
TARA_B100000475	5.61795511816639	16.8632	234.4763	5	0.309005	35.686585	0.0158079856385787	0.000368279658384078
TARA_B100000482	5.76807213368741	16.74878	231.9774	50	0.325714	35.68407	0.0158079856385787	0.000368279658384078
TARA_B100000497	6.02332302501532	13.04322	252.63145	5	0.765222	34.870735	0.0433757677674294	0.00041588182648411
TARA_B100000508	7.03484206706492	4.641719	143.273625	800	0	34.476312	0.011292623821646	0.00126216855521003
TARA_B100000513	5.63212193773667	23.374825	206.23185	5	0.055113	37.076575	0.0119591918773949	0.00077687834467118
TARA_B100000519	6.1018664540738	21.16596	200.32465	150	0.103558	36.61951	0.0119591918773949	0.00077687834467118
TARA_B100000524	5.85510000051576	20.07775	221.13845	5	0.066207	36.32553	0.0177185568027198	0.000862562301335856
TARA_B100000530	6.27642941251453	19.32335	216.6547	120	0.16855	36.27746	0.0177185568027198	0.000862562301335856
TARA_B100000575	5.82192077176132	22.78183	209.1003	5	0.154999	35.98269	0.0130755654536188	3.01e-06
TARA_B100000579	5.90382442458429	19.783275	208.54895	90	0.207911	35.69581	0.0130755654536188	3.01e-06
TARA_B100000586	6.12849708593727	10.69894	4.7047	350	0.015423	34.7072	0.0130755654536188	3.01e-06
TARA_B100000609	5.95225161658506	26.218438	180.67375	5	0.25349	35.129025	0.0324202543124557	3.35e-06
TARA_B100000614	6.06811408399588	26.139288	177.673063	40	0.28262	35.146525	0.0324202543124557	3.35e-06
TARA_B100000674	5.887468599546	26.572419	190.378187	5	0.261381	35.384031	0.0231886209609608	2.46e-06
TARA_B100000676	5.97862715817767	24.81397	172.42475	120	0.077051	35.907345	0.0231886209609608	2.46e-06
TARA_B100000678	6.72158583549236	7.133995	40.6107	600	0	34.5789	0.0301115935047468	2.32e-06
TARA_B100000683	5.55093821011698	26.586685	189.6701	5	0.181215	35.3551	0.0250830895577868	2.28e-06
TARA_B100000686	5.92945423829624	21.97372	158.18405	150	0	35.877315	0.0250830895577868	2.28e-06
TARA_B100000700	5.91792662038426	24.661385	178.3692	115	0.199886	36.101175	0.0301115935047468	2.32e-06
TARA_B100000745	6.79677823138008	5.823213	215.95475	800	0	34.355	0.0177185568027198	0.000862562301335856
TARA_B100000749	6.66346975475161	4.664275	191.413187	800	0	34.369569	0.0119591918773949	0.00077687834467118
TARA_B100000767	5.49118154290028	7.154875	306.1555	40	0.507313	34.05055	0.125833503901958	0.000290781228007593
TARA_B100000768	5.4485291961241	7.579417	303.147667	5	0.426587	34.05025	0.125833503901958	0.000290781228007593
TARA_B100000780	4.70984584628004	1.9034	338.526	5	0.207979	33.7198	0.0968938122193019	8.83e-06
TARA_B100000787	3.61773867167781	0.73159	344.81235	5	0.276495	34.327465	0.00768606374428297	0.000451462571315157
TARA_B100000795	3.98482142183272	-0.792395	326.6803	90	0.289537	34.36258	0.00768606374428297	0.000451462571315157
TARA_B100000809	6.37953955071368	0.456763	203.7715	790	0	34.6802	0.00768606374428297	0.000451462571315157
TARA_B100000886	5.50796345145055	23.88925	203.37975	5	0.091415	36.1376	0.0151822461436192	4.58e-06
TARA_B100000900	5.73980133664113	24.958885	204.421	5	0.264409	34.764535	0.0343005945906043	4.4e-06
TARA_B100000902	6.00801564881714	19.781235	104.9968	40	0.365239	34.884385	0.0343005945906043	4.4e-06
TARA_B100000925	5.80639409275962	27.497475	199.6911	5	0.272009	33.472445	0.0386574637765686	4.99e-06
TARA_B100000927	5.83528228183899	26.019185	199.8303	30	0.329704	34.475915	0.0386574637765686	4.99e-06
TARA_B100000929	6.25336925446189	11.142362	2.264562	380	0	34.791419	0.0386574637765686	4.99e-06
TARA_B100000941	6.00646883651778	24.26287	201.6702	5	0.055382	36.43917	0.00623687038508554	0.000157500916733018
TARA_B100000945	5.95691666400665	21.94937	206.4346	155	0.145434	35.90434	0.00623687038508554	0.000157500916733018
TARA_B100000949	6.39073417277955	5.749106	200.470625	696	0	34.306075	0.00623687038508554	0.000157500916733018
TARA_B100000953	6.21398286690749	9.137438	5.148	480	0	34.692094	0.0343005945906043	4.4e-06
TARA_B100000959	5.9979765881338	12.806365	3.4942	177	0.019279	34.82775	0.018424853682518	3.28e-06
TARA_B100000963	5.71339419951527	25.349495	201.0109	5	0.227673	35.82876	0.018424853682518	3.28e-06
TARA_B100000965	6.0452615364494	22.596675	216.67805	50	0.258187	35.64227	0.018424853682518	3.28e-06
TARA_B100000989	4.69393877148698	23.84533	204.54175	5	0.070669	35.76868	0.0101898570234577	0.000148684310564325
TARA_B100001013	6.47054550179499	7.96837	154.6701	488	0	34.3655	0.00798635904599602	0.000233155270204103
TARA_B100001027	4.9798207276743	25.18103	200.40835	5	0.060509	36.40163	0.00798635904599602	0.000233155270204103
TARA_B100001029	5.89773392485725	20.2127	208.821	188	0.115489	35.86191	0.00798635904599602	0.000233155270204103
TARA_B100001057	5.45858784492435	21.121575	219.015	5	0.147303	34.682538	0.00562962951759497	4.54e-06
TARA_B100001059	6.00355600249622	15.376875	227.7609	35	0.484784	34.22887	0.0408711628988385	3.97e-06
TARA_B100001063	5.61717803720456	18.122955	243.0408	5	0.361109	34.31598	0.0408711628988385	3.97e-06
TARA_B100001079	6.59597353126103	10.082375	2.43975	380	0.007712	34.747805	0.0425270448128382	5.49e-06
TARA_B100001093	5.64448496796675	19.24802	223.159	5	0.140785	33.07013	0.0196726736612618	0.000164223571725112
TARA_B100001094	6.10833819924958	13.874505	236.1591	45	0.389715	33.208145	0.0196726736612618	0.000164223571725112
TARA_B100001105	6.55280364263538	4.918875	9.46475	650	0	34.333562	0.0196726736612618	0.000164223571725112
TARA_B100001109	5.88692090576839	23.88816	191.91255	5	0.246175	35.012435	0.0425270448128382	5.49e-06
TARA_B100001113	6.04694121929388	22.039785	145.0818	50	0.282031	35.112815	0.0425270448128382	5.49e-06
TARA_B100001115	5.82660847830057	26.60467	187.07695	5	0.177137	35.37032	0.0301115935047468	2.32e-06
TARA_B100001121	5.85476699505937	26.80604	187.3321	5	0.178072	35.42651	0.0174856502562761	2.36e-06
TARA_B100001123	5.97059849362376	23.681605	160.81445	140	0	36.28145	0.0174856502562761	2.36e-06
TARA_B100001142	6.2750023561699	13.993715	236.78925	5	0.169817	35.12152	0.0131308049894869	0.00089459921582602
TARA_B100001146	6.62930700890709	5.004169	232.660562	590	0	34.963392	0.0131308049894869	0.00089459921582602
TARA_B100001167	6.43907108327795	10.6855	137.3344	640	0.007712	35.36729	0.00564043200574815	0.00110593110245342
TARA_B100001173	5.9684998525089	14.31675	242.8405	5	0.191493	35.99167	0.0225599464029074	0.000994761930390571
TARA_B100001175	6.06030971110159	14.29128	241.1573	25	0.119381	35.992515	0.0225599464029074	0.000994761930390571
TARA_B100001179	6.55454753010233	10.167675	174.851333	800	0	35.570583	0.0225599464029074	0.000994761930390571
