OTU_ID	Domain	Phylum	Class	Order	Family	Genus	Species
AACY020016122.205.1491	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	marine metagenome	NA
AACY020049127.555.2033	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	marine metagenome
AACY020057074.347.1847	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9 marine group	marine metagenome	NA
AACY020061762.7.1504	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7 clade	marine metagenome
AACY020065672.95.1597	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa	marine metagenome
AACY020075636.150.1670	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	marine metagenome	NA
AACY020080403.492.1950	Bacteria	Cyanobacteria	Chloroplast	marine metagenome	NA	NA	NA
AACY020095396.2822.4287	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	marine metagenome	NA	NA
AACY020105546.1130.2631	Bacteria	Actinobacteria	Actinobacteria	PeM15	marine metagenome	NA	NA
AACY020119224.701.2163	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	marine metagenome	NA
AACY020125801.1205.2714	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	marine metagenome
AACY020125842.55.1493	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	marine metagenome	NA
AACY020147130.655.2083	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	marine metagenome	NA
AACY020159143.753.2263	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	MWH-UniP1 aquatic group	marine metagenome
AACY020170354.114.1617	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	marine metagenome
AACY020170993.10.1544	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	marine metagenome	NA
AACY020187844.576.1995	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	marine metagenome	NA
AACY020207233.1273.2814	Bacteria	Marinimicrobia (SAR406 clade)	marine metagenome	NA	NA	NA	NA
AACY020239062.128.1636	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	marine metagenome
AACY020259437.2024.3522	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	uncultured	marine metagenome
AACY020273010.4139.5621	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	marine metagenome
AACY020276549.377.1886	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	marine metagenome
AACY020281370.38.1481	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	marine metagenome	NA
AACY020283857.132.1585	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Deep 1	marine metagenome	NA
AACY020288370.770.2267	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996 marine group	marine metagenome	NA
AACY020292957.227.1544	Bacteria	Parcubacteria	marine metagenome	NA	NA	NA	NA
AACY020294209.1241.2637	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Luminiphilus	marine metagenome
AACY020295835.2107.3611	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	marine metagenome
AACY020302266.213.1678	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Tistlia	marine metagenome
AACY020309696.232.1729	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	uncultured	marine metagenome
AACY020310490.1043.2549	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	marine metagenome
AACY020311045.179.1696	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182 clade	marine metagenome	NA
AACY020311334.1.1454	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	marine metagenome
AACY020311632.2028.3468	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	marine metagenome
AACY020312918.217.1514	Bacteria	Parcubacteria	Candidatus Campbellbacteria	marine metagenome	NA	NA	NA
AACY020324837.147.1652	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	marine metagenome
AACY020371335.89.1595	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	uncultured	marine metagenome
AACY020393406.361.1862	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY020398456.2130.3630	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY020403290.735.2190	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Deep 1	marine metagenome	NA
AACY020430088.197.1720	Bacteria	Proteobacteria	AEGEAN-245	marine metagenome	NA	NA	NA
AACY020443294.193.1674	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	marine metagenome
AACY020454769.289.1798	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	marine metagenome
AACY020458202.2977.4452	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group	marine metagenome
AACY020458788.943.2444	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	marine metagenome
AACY020465546.1.1481	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquibacter	marine metagenome
AACY020481938.3418.4929	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY020487638.121.1594	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group	marine metagenome
AACY020490277.719.2228	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	marine metagenome
AACY020495408.613.2120	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	marine metagenome
AACY020518560.687.2227	Bacteria	Marinimicrobia (SAR406 clade)	marine metagenome	NA	NA	NA	NA
AACY020521239.1.1481	Archaea	Woesearchaeota (DHVEG-6)	marine metagenome	NA	NA	NA	NA
AACY020524983.300.1803	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	DS001	marine metagenome
AACY020525321.327.1835	Bacteria	Bacteroidetes	Bacteroidetes Incertae Sedis	Order III	uncultured	marine metagenome	NA
AACY020534669.81.1545	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Cohaesibacter	marine metagenome
AACY020536637.961.2423	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Cohaesibacter	marine metagenome
