MG_UID	Sample	Station	Latitude	Longitude	Depth	Biome	Region	Province	Temperature	Nitrogen	Ammonium_5m	Nitrate	Nitrate_5m	Nitrite	Nitrite_5m	Nitrate_Nitrite	Phosphate	Silicate	Iron_5m	Oxygen	Salinity	Sigma_Theta	Chlorophyll_A	POC	PIC	Residence_Time	Conductivity	PAR_1_1	PAR_1_8	PAR_1_30	Season	Season_Stage	Distance_From_Coast	Angular_Scattering_Coefficient	Optical_Backscattering_Coefficient	Backscattering_Coefficient_of_Particles	Fluorescence	Optical_Beam_Attenuation_Coefficient	Beam_Attenuation_Coefficient_of_Particles	Sunshine_Duration	Sea_Ice_Concentration	Sea_Ice_Free_Period.	Sample_Accession_Number	Ecological_Zone
ERR599359	100_DCM	TARA_100	-12.9723	-96.0122	50	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	22.596675	NA	0.018424854	4.229206	9.24222072	0.16	0.128016119	5.6545	0.78	1.8815	3.277e-06	216.67805	35.64227	24.5284	47.9246	52.89086151	0.000295935	6	51.430264	NA	0.570258	0.61937	autumn	early	1404.6916	0.000413	0.001199	0.002856	2.070398	0.138429	0.102186	709	0	365	ERS491897	TT_EPI
ERR599375	100_dDCM	TARA_100	-12.9794	-96.0232	177	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	12.806365	NA	0.018424854	20.254424	9.24222072	0.03	0.128016119	23.251	2.68	20.9015	3.277e-06	3.4942	34.82775	26.3033	37.0054	51.6122818	0.000296832	6	40.67921	NA	1.1e-05	1.2e-05	autumn	early	1406.3089	0.000265	0.000157	0.001831	3.186315	0.051836	0.016025	708	0	365	ERS491930	TT_MES
ERR599342	100_SRF	TARA_100	-13.0023	-95.9759	5	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	25.349495	NA	0.018424854	5.005302	9.24222072	0.14	0.128016119	6.1625	0.68	1.15025	3.277e-06	201.0109	35.82876	23.86109	47.9246	51.65765953	0.00027787	6	54.561524	NA	23.905968	25.964828	autumn	early	1404.6916	0.000381	0.000976	0.002631	1.77889	0.128254	0.092012	709	0	365	ERS491851	TT_EPI
ERR599349	102_DCM	TARA_102	-5.2669	-85.2732	40	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)	19.781235	NA	0.034300595	18.72477	7.140994549	1.2	0.573159586	24.3645	1.86	10.5045	4.398e-06	104.9968	34.884385	24.729155	25.4127	65.70284271	0.000359394	0	47.575971	0.640251	0.59199	0.611425	autumn	middle	444.5005	0.000456	0.001499	0.003152	2.896974	0.162552	0.129877	718	0	365	ERS492035	TT_EPI
ERR599346	102_MES	TARA_102	-5.261	-85.1678	480	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)	9.137438	NA	0.034300595	40.112735	7.140994549	0.01	0.573159586	39.1775	2.85	40.579	4.398e-06	5.148	34.692094	26.863531	44.464	85.90293503	0.000337211	0	37.197112	NA	NA	NA	autumn	middle	442.8228	0.000257	8.6e-05	0.001776	3.478053	0.036818	0.004142	718	0	365	ERS491995	Outlier
ERR599353	102_SRF	TARA_102	-5.2529	-85.1545	5	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)	24.958885	NA	0.034300595	13.010708	7.140994549	0.32	0.573159586	12.8225	1	5.04425	4.398e-06	204.421	34.764535	23.176695	35.1383	85.90293503	0.000337211	0	52.714281	24.439054	24.141238	25.616254	autumn	early	805.0024	0.000406	0.001162	0.002808	2.076027	0.140985	0.10772	718	0	365	ERS491955	TT_EPI
ERR594387	109_DCM	TARA_109	2.0299	-84.5546	30	Coastal Biome	[NPO] North Pacific Ocean (MRGID:1908)	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	26.019185	NA	0.038657464	4.369042	3.423354744	0.11	0.411641767	4.638	0.5	3.225	4.994e-06	199.8303	34.475915	22.63355	29.3943	NA	NA	2.083333	53.428668	NA	NA	NA	spring	middle	515.6321	0.000408	0.001173	0.002817	2.048813	0.150109	0.122985	732	0	365	ERS492198	TT_EPI
ERR594412	109_SRF	TARA_109	1.9928	-84.5766	5	Coastal Biome	[NPO] North Pacific Ocean (MRGID:1908)	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	27.497475	NA	0.038657464	1.673601	3.423354744	0.04	0.411641767	0.8935	0.27	1.7085	4.994e-06	199.6911	33.472445	21.408655	39.5787	NA	NA	2.083333	53.526114	NA	NA	NA	spring	middle	496.135	0.000402	0.00114	0.002774	1.900753	0.13885	0.111697	732	0	365	ERS492160	TT_EPI
ERR599383	11_SRF	TARA_011	41.6686	2.7996	9	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	NA	NA	0.009132409	NA	0.024274436	NA	0.031807316	NA	NA	NA	0.001387775	NA	NA	NA	NA	43.02017593	2e-05	0	NA	NA	NA	NA	unknown	unknown	NA	NA	NA	NA	NA	NA	NA	697	0	365	ERS488253	TT_EPI
ERR599369	111_DCM	TARA_111	-16.9587	-100.6751	90	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	19.783275	NA	0.013075565	0.85366	7.843671242	0.2	0.043491448	1.2215	0.44	0.9285	3.007e-06	208.54895	35.69581	25.354365	31.8491	42.42976761	0.00022155	34.305556	48.582486	0.019494	0.026184	0.023915	autumn	late	916.312	0.00032	0.000546	0.002207	2.047239	0.058143	0.036743	671	0	365	ERS492376	TT_EPI
ERR599368	111_MES	TARA_111	-16.9486	-100.6715	350	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	10.69894	NA	0.013075565	29.923223	7.843671242	0.01	0.043491448	NA	2.73	NA	3.007e-06	4.7047	34.7072	26.609085	36.7242	42.42976761	0.00022155	34.305556	38.619567	NA	NA	NA	autumn	late	915.2628	0.000253	6.3e-05	0.001746	3.306498	0.0254	0.004176	671	0	365	ERS492399	TT_MES
